Reference area,ISO,Country,TIME_PERIOD,OBS_VALUE
Luxembourg,LUX,Luxembourg,2011,12.69
Luxembourg,LUX,Luxembourg,2012,11.36
Luxembourg,LUX,Luxembourg,2013,11.7
Luxembourg,LUX,Luxembourg,2014,9.98
Luxembourg,LUX,Luxembourg,2015,10.38
Luxembourg,LUX,Luxembourg,2016,9.6
Luxembourg,LUX,Luxembourg,2017,9.59
Luxembourg,LUX,Luxembourg,2018,9.29
Luxembourg,LUX,Luxembourg,2019,8.47
Luxembourg,LUX,Luxembourg,2020,8.67
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2000,26.97
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2001,26.57
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2002,27.15
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2003,25.5
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2004,27.59
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2005,27.56
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2006,26.58
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2007,27.99
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2008,26.4
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2009,25.74
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2010,23.26
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2011,19.69
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2012,21.54
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2013,23.16
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2014,20.51
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2015,19.27
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2016,21.41
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2017,18.21
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2018,19.92
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2019,21.3
Lao People’s Democratic Republic,LAO,Lao People’s Democratic Republic,2020,21.19
Belarus,BLR,Belarus,2000,27.34
Belarus,BLR,Belarus,2001,26.54
Belarus,BLR,Belarus,2002,29.84
Belarus,BLR,Belarus,2003,23.77
Belarus,BLR,Belarus,2004,22.51
Belarus,BLR,Belarus,2005,21.5
Belarus,BLR,Belarus,2006,21.14
Belarus,BLR,Belarus,2007,19.52
Belarus,BLR,Belarus,2008,18.68
Belarus,BLR,Belarus,2009,19.55
Belarus,BLR,Belarus,2010,20.72
Belarus,BLR,Belarus,2011,18.5
Belarus,BLR,Belarus,2012,17.9
Belarus,BLR,Belarus,2013,18.79
Belarus,BLR,Belarus,2014,19.22
Belarus,BLR,Belarus,2015,17.43
Belarus,BLR,Belarus,2016,15.7
Belarus,BLR,Belarus,2017,15.67
Belarus,BLR,Belarus,2018,16.88
Belarus,BLR,Belarus,2019,15.55
Belarus,BLR,Belarus,2020,14.5
Malta,MLT,Malta,2000,17.68
Malta,MLT,Malta,2001,17.28
Malta,MLT,Malta,2002,17.49
Malta,MLT,Malta,2003,19.27
Malta,MLT,Malta,2004,17.69
Malta,MLT,Malta,2005,16.85
Malta,MLT,Malta,2006,16.59
Malta,MLT,Malta,2007,17.99
Malta,MLT,Malta,2008,17.04
Malta,MLT,Malta,2009,16.21
Malta,MLT,Malta,2010,17.16
Malta,MLT,Malta,2011,16.24
Malta,MLT,Malta,2012,14.2
Malta,MLT,Malta,2013,13.48
Malta,MLT,Malta,2014,13.59
Malta,MLT,Malta,2015,13.83
Malta,MLT,Malta,2016,12.64
Malta,MLT,Malta,2017,12.99
Malta,MLT,Malta,2018,13.2
Malta,MLT,Malta,2019,12.67
Malta,MLT,Malta,2020,11.76
United Kingdom,GBR,United Kingdom,2000,15.76
United Kingdom,GBR,United Kingdom,2001,13.94
United Kingdom,GBR,United Kingdom,2002,14.42
United Kingdom,GBR,United Kingdom,2003,17
United Kingdom,GBR,United Kingdom,2004,13.72
United Kingdom,GBR,United Kingdom,2005,14.17
United Kingdom,GBR,United Kingdom,2006,14.22
United Kingdom,GBR,United Kingdom,2007,13.92
United Kingdom,GBR,United Kingdom,2008,13.48
United Kingdom,GBR,United Kingdom,2009,12.54
United Kingdom,GBR,United Kingdom,2010,12.21
United Kingdom,GBR,United Kingdom,2011,12.75
United Kingdom,GBR,United Kingdom,2012,11.26
United Kingdom,GBR,United Kingdom,2013,11.16
United Kingdom,GBR,United Kingdom,2014,10.59
United Kingdom,GBR,United Kingdom,2015,10.25
United Kingdom,GBR,United Kingdom,2016,9.83
United Kingdom,GBR,United Kingdom,2017,10.18
United Kingdom,GBR,United Kingdom,2018,10.04
United Kingdom,GBR,United Kingdom,2019,9.75
United Kingdom,GBR,United Kingdom,2020,9.71
Myanmar,MMR,Myanmar,2000,37.79
Myanmar,MMR,Myanmar,2001,38.71
Myanmar,MMR,Myanmar,2002,39.63
Myanmar,MMR,Myanmar,2003,38.59
Myanmar,MMR,Myanmar,2004,40.47
Myanmar,MMR,Myanmar,2005,40.08
Myanmar,MMR,Myanmar,2006,39.98
Myanmar,MMR,Myanmar,2007,41.31
Myanmar,MMR,Myanmar,2008,39.97
Myanmar,MMR,Myanmar,2009,40.04
Myanmar,MMR,Myanmar,2010,33.97
Myanmar,MMR,Myanmar,2011,29.18
Myanmar,MMR,Myanmar,2012,32.86
Myanmar,MMR,Myanmar,2013,34.88
Myanmar,MMR,Myanmar,2014,30.98
Myanmar,MMR,Myanmar,2015,29.68
Myanmar,MMR,Myanmar,2016,30.9
Myanmar,MMR,Myanmar,2017,27.89
Myanmar,MMR,Myanmar,2018,31.25
Myanmar,MMR,Myanmar,2019,31.85
Myanmar,MMR,Myanmar,2020,31.95
Oman,OMN,Oman,2000,44.99
Oman,OMN,Oman,2001,43.59
Oman,OMN,Oman,2002,41.53
Oman,OMN,Oman,2003,45.86
Oman,OMN,Oman,2004,47.3
Oman,OMN,Oman,2005,45.33
Oman,OMN,Oman,2006,42.27
Oman,OMN,Oman,2007,42.3
Oman,OMN,Oman,2008,49.81
Oman,OMN,Oman,2009,44.1
Oman,OMN,Oman,2010,41.18
Oman,OMN,Oman,2011,47.49
Oman,OMN,Oman,2012,50.36
Oman,OMN,Oman,2013,46.06
Oman,OMN,Oman,2014,40.3
Oman,OMN,Oman,2015,46.17
Oman,OMN,Oman,2016,44
Oman,OMN,Oman,2017,47.02
Oman,OMN,Oman,2018,47.65
Oman,OMN,Oman,2019,43.43
Oman,OMN,Oman,2020,38.46
Nepal,NPL,Nepal,2000,55.51
Nepal,NPL,Nepal,2001,59.13
Nepal,NPL,Nepal,2002,59.18
Nepal,NPL,Nepal,2003,59.33
Nepal,NPL,Nepal,2004,57.77
Nepal,NPL,Nepal,2005,57.59
Nepal,NPL,Nepal,2006,60.07
Nepal,NPL,Nepal,2007,60.86
Nepal,NPL,Nepal,2008,59.24
Nepal,NPL,Nepal,2009,61.12
Nepal,NPL,Nepal,2010,47.05
Nepal,NPL,Nepal,2011,56.07
Nepal,NPL,Nepal,2012,69.52
Nepal,NPL,Nepal,2013,69.49
Nepal,NPL,Nepal,2014,72.9
Nepal,NPL,Nepal,2015,69.18
Nepal,NPL,Nepal,2016,70.59
Nepal,NPL,Nepal,2017,62.72
Nepal,NPL,Nepal,2018,62.24
Nepal,NPL,Nepal,2019,55.41
Nepal,NPL,Nepal,2020,44.22
Switzerland,CHE,Switzerland,2000,16.18
Switzerland,CHE,Switzerland,2001,15.4
Switzerland,CHE,Switzerland,2002,14.99
Switzerland,CHE,Switzerland,2003,16.26
Switzerland,CHE,Switzerland,2004,13.78
Switzerland,CHE,Switzerland,2005,14.24
Switzerland,CHE,Switzerland,2006,15.21
Switzerland,CHE,Switzerland,2007,13.64
Switzerland,CHE,Switzerland,2008,13.32
Switzerland,CHE,Switzerland,2009,14.11
Switzerland,CHE,Switzerland,2010,13.16
Switzerland,CHE,Switzerland,2011,13.76
Switzerland,CHE,Switzerland,2012,12.6
Switzerland,CHE,Switzerland,2013,12.36
Switzerland,CHE,Switzerland,2014,10.55
Switzerland,CHE,Switzerland,2015,11.63
Switzerland,CHE,Switzerland,2016,10.58
Switzerland,CHE,Switzerland,2017,9.86
Switzerland,CHE,Switzerland,2018,10.08
Switzerland,CHE,Switzerland,2019,9.39
Switzerland,CHE,Switzerland,2020,9
Sweden,SWE,Sweden,2000,9.71
Sweden,SWE,Sweden,2001,8.15
Sweden,SWE,Sweden,2002,8.53
Sweden,SWE,Sweden,2003,9.45
Sweden,SWE,Sweden,2004,8.07
Sweden,SWE,Sweden,2005,8.44
Sweden,SWE,Sweden,2006,9.4
Sweden,SWE,Sweden,2007,8.23
Sweden,SWE,Sweden,2008,7.59
Sweden,SWE,Sweden,2009,7.68
Sweden,SWE,Sweden,2010,7.84
Sweden,SWE,Sweden,2011,7.92
Sweden,SWE,Sweden,2012,6.62
Sweden,SWE,Sweden,2013,6.57
Sweden,SWE,Sweden,2014,6.77
Sweden,SWE,Sweden,2015,6.31
Sweden,SWE,Sweden,2016,5.7
Sweden,SWE,Sweden,2017,6.07
Sweden,SWE,Sweden,2018,6.29
Sweden,SWE,Sweden,2019,6.06
Sweden,SWE,Sweden,2020,5.64
France,FRA,France,2000,15.76
France,FRA,France,2001,15.15
France,FRA,France,2002,14.78
France,FRA,France,2003,16.42
France,FRA,France,2004,14.24
France,FRA,France,2005,14.57
France,FRA,France,2006,15.38
France,FRA,France,2007,14.62
France,FRA,France,2008,13.41
France,FRA,France,2009,13.77
France,FRA,France,2010,13.47
France,FRA,France,2011,13.48
France,FRA,France,2012,12.3
France,FRA,France,2013,12.2
France,FRA,France,2014,10.52
France,FRA,France,2015,11.16
France,FRA,France,2016,10.37
France,FRA,France,2017,10.33
France,FRA,France,2018,10.34
France,FRA,France,2019,9.72
France,FRA,France,2020,9.49
Afghanistan,AFG,Afghanistan,2000,62.65
Afghanistan,AFG,Afghanistan,2001,63.55
Afghanistan,AFG,Afghanistan,2002,63.49
Afghanistan,AFG,Afghanistan,2003,62.67
Afghanistan,AFG,Afghanistan,2004,61.41
Afghanistan,AFG,Afghanistan,2005,61.4
Afghanistan,AFG,Afghanistan,2006,63.37
Afghanistan,AFG,Afghanistan,2007,62.4
Afghanistan,AFG,Afghanistan,2008,61.53
Afghanistan,AFG,Afghanistan,2009,62.42
Afghanistan,AFG,Afghanistan,2010,48.32
Afghanistan,AFG,Afghanistan,2011,60.11
Afghanistan,AFG,Afghanistan,2012,68.93
Afghanistan,AFG,Afghanistan,2013,71.17
Afghanistan,AFG,Afghanistan,2014,74.76
Afghanistan,AFG,Afghanistan,2015,71.37
Afghanistan,AFG,Afghanistan,2016,70.54
Afghanistan,AFG,Afghanistan,2017,63.98
Afghanistan,AFG,Afghanistan,2018,65.2
Afghanistan,AFG,Afghanistan,2019,56.61
Afghanistan,AFG,Afghanistan,2020,44.72
Italy,ITA,Italy,2000,25.46
Italy,ITA,Italy,2001,22.05
Italy,ITA,Italy,2002,23.25
Italy,ITA,Italy,2003,24.73
Italy,ITA,Italy,2004,22.09
Italy,ITA,Italy,2005,22.65
Italy,ITA,Italy,2006,22.76
Italy,ITA,Italy,2007,21.53
Italy,ITA,Italy,2008,20.22
Italy,ITA,Italy,2009,20.52
Italy,ITA,Italy,2010,19.57
Italy,ITA,Italy,2011,20.7
Italy,ITA,Italy,2012,18.22
Italy,ITA,Italy,2013,17.53
Italy,ITA,Italy,2014,16.43
Italy,ITA,Italy,2015,17.27
Italy,ITA,Italy,2016,15.29
Italy,ITA,Italy,2017,15.56
Italy,ITA,Italy,2018,15.92
Italy,ITA,Italy,2019,14.53
Italy,ITA,Italy,2020,14.31
Lithuania,LTU,Lithuania,2000,17.96
Lithuania,LTU,Lithuania,2001,16.99
Lithuania,LTU,Lithuania,2002,19.08
Lithuania,LTU,Lithuania,2003,16.57
Lithuania,LTU,Lithuania,2004,14.35
Lithuania,LTU,Lithuania,2005,14.41
Lithuania,LTU,Lithuania,2006,14.19
Lithuania,LTU,Lithuania,2007,12.98
Lithuania,LTU,Lithuania,2008,12.33
Lithuania,LTU,Lithuania,2009,12.53
Lithuania,LTU,Lithuania,2010,13.84
Lithuania,LTU,Lithuania,2011,12.32
Lithuania,LTU,Lithuania,2012,12.38
Lithuania,LTU,Lithuania,2013,12.42
Lithuania,LTU,Lithuania,2014,12.78
Lithuania,LTU,Lithuania,2015,11.33
Lithuania,LTU,Lithuania,2016,10.26
Lithuania,LTU,Lithuania,2017,9.83
Lithuania,LTU,Lithuania,2018,11.11
Lithuania,LTU,Lithuania,2019,10.28
Lithuania,LTU,Lithuania,2020,9.23
Philippines,PHL,Philippines,2000,29.64
Philippines,PHL,Philippines,2001,26.39
Philippines,PHL,Philippines,2002,27.1
Philippines,PHL,Philippines,2003,27.78
Philippines,PHL,Philippines,2004,28.7
Philippines,PHL,Philippines,2005,28.57
Philippines,PHL,Philippines,2006,28.86
Philippines,PHL,Philippines,2007,28.19
Philippines,PHL,Philippines,2008,27.9
Philippines,PHL,Philippines,2009,26.56
Philippines,PHL,Philippines,2010,22.23
Philippines,PHL,Philippines,2011,19.6
Philippines,PHL,Philippines,2012,21.09
Philippines,PHL,Philippines,2013,22.04
Philippines,PHL,Philippines,2014,19.73
Philippines,PHL,Philippines,2015,19.18
Philippines,PHL,Philippines,2016,19.24
Philippines,PHL,Philippines,2017,17.77
Philippines,PHL,Philippines,2018,19.91
Philippines,PHL,Philippines,2019,20.84
Philippines,PHL,Philippines,2020,19.64
Luxembourg,LUX,Luxembourg,2000,14.23
Luxembourg,LUX,Luxembourg,2001,13.63
Luxembourg,LUX,Luxembourg,2002,13.68
Luxembourg,LUX,Luxembourg,2003,14.96
Luxembourg,LUX,Luxembourg,2004,13.29
Luxembourg,LUX,Luxembourg,2005,13.51
Luxembourg,LUX,Luxembourg,2006,14.16
Luxembourg,LUX,Luxembourg,2007,13.09
Luxembourg,LUX,Luxembourg,2008,12.34
Luxembourg,LUX,Luxembourg,2009,12.41
Luxembourg,LUX,Luxembourg,2010,13
Luxembourg,LUX,Luxembourg,2011,12.7
Luxembourg,LUX,Luxembourg,2012,11.36
Luxembourg,LUX,Luxembourg,2013,11.7
Luxembourg,LUX,Luxembourg,2014,9.98
Luxembourg,LUX,Luxembourg,2015,10.38
Luxembourg,LUX,Luxembourg,2016,9.6
Luxembourg,LUX,Luxembourg,2017,9.59
Luxembourg,LUX,Luxembourg,2018,9.29
Luxembourg,LUX,Luxembourg,2019,8.47
Luxembourg,LUX,Luxembourg,2020,8.67
Greece,GRC,Greece,2000,23.95
Greece,GRC,Greece,2001,22.29
Greece,GRC,Greece,2002,23.07
Greece,GRC,Greece,2003,24.3
Greece,GRC,Greece,2004,21.35
Greece,GRC,Greece,2005,22.11
Greece,GRC,Greece,2006,22.81
Greece,GRC,Greece,2007,22.06
Greece,GRC,Greece,2008,21.31
Greece,GRC,Greece,2009,20.51
Greece,GRC,Greece,2010,19.96
Greece,GRC,Greece,2011,21
Greece,GRC,Greece,2012,18.49
Greece,GRC,Greece,2013,17.67
Greece,GRC,Greece,2014,16.58
Greece,GRC,Greece,2015,16.99
Greece,GRC,Greece,2016,15.53
Greece,GRC,Greece,2017,15.43
Greece,GRC,Greece,2018,15.35
Greece,GRC,Greece,2019,14.72
Greece,GRC,Greece,2020,14.18
Kyrgyzstan,KGZ,Kyrgyzstan,2000,21.41
Kyrgyzstan,KGZ,Kyrgyzstan,2001,20.9
Kyrgyzstan,KGZ,Kyrgyzstan,2002,21.75
Kyrgyzstan,KGZ,Kyrgyzstan,2003,20.8
Kyrgyzstan,KGZ,Kyrgyzstan,2004,20.91
Kyrgyzstan,KGZ,Kyrgyzstan,2005,21.16
Kyrgyzstan,KGZ,Kyrgyzstan,2006,21.93
Kyrgyzstan,KGZ,Kyrgyzstan,2007,21.64
Kyrgyzstan,KGZ,Kyrgyzstan,2008,22.06
Kyrgyzstan,KGZ,Kyrgyzstan,2009,23.36
Kyrgyzstan,KGZ,Kyrgyzstan,2010,25.31
Kyrgyzstan,KGZ,Kyrgyzstan,2011,31.91
Kyrgyzstan,KGZ,Kyrgyzstan,2012,32.74
Kyrgyzstan,KGZ,Kyrgyzstan,2013,32.07
Kyrgyzstan,KGZ,Kyrgyzstan,2014,29.15
Kyrgyzstan,KGZ,Kyrgyzstan,2015,28.12
Kyrgyzstan,KGZ,Kyrgyzstan,2016,27.64
Kyrgyzstan,KGZ,Kyrgyzstan,2017,25.46
Kyrgyzstan,KGZ,Kyrgyzstan,2018,26.18
Kyrgyzstan,KGZ,Kyrgyzstan,2019,25.55
Kyrgyzstan,KGZ,Kyrgyzstan,2020,23.29
Denmark,DNK,Denmark,2000,15.34
Denmark,DNK,Denmark,2001,13.02
Denmark,DNK,Denmark,2002,14.19
Denmark,DNK,Denmark,2003,15.71
Denmark,DNK,Denmark,2004,13
Denmark,DNK,Denmark,2005,13.84
Denmark,DNK,Denmark,2006,14.73
Denmark,DNK,Denmark,2007,13.71
Denmark,DNK,Denmark,2008,11.67
Denmark,DNK,Denmark,2009,11.97
Denmark,DNK,Denmark,2010,12.82
Denmark,DNK,Denmark,2011,13.07
Denmark,DNK,Denmark,2012,10.6
Denmark,DNK,Denmark,2013,10.2
Denmark,DNK,Denmark,2014,10.59
Denmark,DNK,Denmark,2015,10.03
Denmark,DNK,Denmark,2016,9.06
Denmark,DNK,Denmark,2017,9.9
Denmark,DNK,Denmark,2018,10.14
Denmark,DNK,Denmark,2019,9.41
Denmark,DNK,Denmark,2020,8.89
DKI Jakarta Province,IDN,Indonesia,2000,44.21
DKI Jakarta Province,IDN,Indonesia,2001,42.98
DKI Jakarta Province,IDN,Indonesia,2002,37.9
DKI Jakarta Province,IDN,Indonesia,2003,37.48
DKI Jakarta Province,IDN,Indonesia,2004,37.06
DKI Jakarta Province,IDN,Indonesia,2005,38.16
DKI Jakarta Province,IDN,Indonesia,2006,37.34
DKI Jakarta Province,IDN,Indonesia,2007,36.63
DKI Jakarta Province,IDN,Indonesia,2008,37.57
DKI Jakarta Province,IDN,Indonesia,2009,34.23
DKI Jakarta Province,IDN,Indonesia,2010,32.14
DKI Jakarta Province,IDN,Indonesia,2011,27.06
DKI Jakarta Province,IDN,Indonesia,2012,30.31
DKI Jakarta Province,IDN,Indonesia,2013,30.39
DKI Jakarta Province,IDN,Indonesia,2014,26.94
DKI Jakarta Province,IDN,Indonesia,2015,27.52
DKI Jakarta Province,IDN,Indonesia,2016,30.9
DKI Jakarta Province,IDN,Indonesia,2017,26.9
DKI Jakarta Province,IDN,Indonesia,2018,28.21
DKI Jakarta Province,IDN,Indonesia,2019,29.15
DKI Jakarta Province,IDN,Indonesia,2020,25.12
Ireland,IRL,Ireland,2000,12.29
Ireland,IRL,Ireland,2001,11.4
Ireland,IRL,Ireland,2002,11.62
Ireland,IRL,Ireland,2003,13.96
Ireland,IRL,Ireland,2004,10.63
Ireland,IRL,Ireland,2005,11.61
Ireland,IRL,Ireland,2006,11.84
Ireland,IRL,Ireland,2007,11.67
Ireland,IRL,Ireland,2008,10.66
Ireland,IRL,Ireland,2009,10.47
Ireland,IRL,Ireland,2010,10.15
Ireland,IRL,Ireland,2011,10.33
Ireland,IRL,Ireland,2012,9.41
Ireland,IRL,Ireland,2013,9.02
Ireland,IRL,Ireland,2014,8.69
Ireland,IRL,Ireland,2015,8.65
Ireland,IRL,Ireland,2016,7.96
Ireland,IRL,Ireland,2017,8.24
Ireland,IRL,Ireland,2018,8.15
Ireland,IRL,Ireland,2019,7.74
Ireland,IRL,Ireland,2020,8
Kazakhstan,KAZ,Kazakhstan,2000,15.73
Kazakhstan,KAZ,Kazakhstan,2001,16.11
Kazakhstan,KAZ,Kazakhstan,2002,16.4
Kazakhstan,KAZ,Kazakhstan,2003,15.93
Kazakhstan,KAZ,Kazakhstan,2004,15.91
Kazakhstan,KAZ,Kazakhstan,2005,16.06
Kazakhstan,KAZ,Kazakhstan,2006,16.59
Kazakhstan,KAZ,Kazakhstan,2007,16.6
Kazakhstan,KAZ,Kazakhstan,2008,17.17
Kazakhstan,KAZ,Kazakhstan,2009,18.33
Kazakhstan,KAZ,Kazakhstan,2010,20.06
Kazakhstan,KAZ,Kazakhstan,2011,24.94
Kazakhstan,KAZ,Kazakhstan,2012,26.55
Kazakhstan,KAZ,Kazakhstan,2013,25.12
Kazakhstan,KAZ,Kazakhstan,2014,23.34
Kazakhstan,KAZ,Kazakhstan,2015,22.1
Kazakhstan,KAZ,Kazakhstan,2016,22.26
Kazakhstan,KAZ,Kazakhstan,2017,20.62
Kazakhstan,KAZ,Kazakhstan,2018,20.22
Kazakhstan,KAZ,Kazakhstan,2019,20.51
Kazakhstan,KAZ,Kazakhstan,2020,19.63
Hungary,HUN,Hungary,2000,20.62
Hungary,HUN,Hungary,2001,20.44
Hungary,HUN,Hungary,2002,23.21
Hungary,HUN,Hungary,2003,24.47
Hungary,HUN,Hungary,2004,20.97
Hungary,HUN,Hungary,2005,21.87
Hungary,HUN,Hungary,2006,23.25
Hungary,HUN,Hungary,2007,18.46
Hungary,HUN,Hungary,2008,18.25
Hungary,HUN,Hungary,2009,19.07
Hungary,HUN,Hungary,2010,20.34
Hungary,HUN,Hungary,2011,21.17
Hungary,HUN,Hungary,2012,18.82
Hungary,HUN,Hungary,2013,17.75
Hungary,HUN,Hungary,2014,17.83
Hungary,HUN,Hungary,2015,17.86
Hungary,HUN,Hungary,2016,16.13
Hungary,HUN,Hungary,2017,16.9
Hungary,HUN,Hungary,2018,17.37
Hungary,HUN,Hungary,2019,14.54
Hungary,HUN,Hungary,2020,14.03
Bhutan,BTN,Bhutan,2000,35.59
Bhutan,BTN,Bhutan,2001,36.04
Bhutan,BTN,Bhutan,2002,36.13
Bhutan,BTN,Bhutan,2003,36.97
Bhutan,BTN,Bhutan,2004,36.94
Bhutan,BTN,Bhutan,2005,37.4
Bhutan,BTN,Bhutan,2006,37.88
Bhutan,BTN,Bhutan,2007,37.65
Bhutan,BTN,Bhutan,2008,36.77
Bhutan,BTN,Bhutan,2009,37.89
Bhutan,BTN,Bhutan,2010,28.54
Bhutan,BTN,Bhutan,2011,33.59
Bhutan,BTN,Bhutan,2012,42.06
Bhutan,BTN,Bhutan,2013,41.19
Bhutan,BTN,Bhutan,2014,44.45
Bhutan,BTN,Bhutan,2015,41.21
Bhutan,BTN,Bhutan,2016,40.67
Bhutan,BTN,Bhutan,2017,37.42
Bhutan,BTN,Bhutan,2018,37.51
Bhutan,BTN,Bhutan,2019,33.07
Bhutan,BTN,Bhutan,2020,26.35
Poland,POL,Poland,2000,25.58
Poland,POL,Poland,2001,25.55
Poland,POL,Poland,2002,29.64
Poland,POL,Poland,2003,30.36
Poland,POL,Poland,2004,26.33
Poland,POL,Poland,2005,27.54
Poland,POL,Poland,2006,29.69
Poland,POL,Poland,2007,24.14
Poland,POL,Poland,2008,23.16
Poland,POL,Poland,2009,24.26
Poland,POL,Poland,2010,26.75
Poland,POL,Poland,2011,26.34
Poland,POL,Poland,2012,23.94
Poland,POL,Poland,2013,23.01
Poland,POL,Poland,2014,23.27
Poland,POL,Poland,2015,22.25
Poland,POL,Poland,2016,21.09
Poland,POL,Poland,2017,22.1
Poland,POL,Poland,2018,22.26
Poland,POL,Poland,2019,18.64
Poland,POL,Poland,2020,17.84
Pakistan,PAK,Pakistan,2000,58.39
Pakistan,PAK,Pakistan,2001,59.56
Pakistan,PAK,Pakistan,2002,60.09
Pakistan,PAK,Pakistan,2003,60.43
Pakistan,PAK,Pakistan,2004,59.46
Pakistan,PAK,Pakistan,2005,58.9
Pakistan,PAK,Pakistan,2006,60.91
Pakistan,PAK,Pakistan,2007,60.23
Pakistan,PAK,Pakistan,2008,58.8
Pakistan,PAK,Pakistan,2009,58.9
Pakistan,PAK,Pakistan,2010,46.57
Pakistan,PAK,Pakistan,2011,55.73
Pakistan,PAK,Pakistan,2012,66.84
Pakistan,PAK,Pakistan,2013,68.45
Pakistan,PAK,Pakistan,2014,71.58
Pakistan,PAK,Pakistan,2015,68.02
Pakistan,PAK,Pakistan,2016,68.47
Pakistan,PAK,Pakistan,2017,61.76
Pakistan,PAK,Pakistan,2018,62.41
Pakistan,PAK,Pakistan,2019,52.92
Pakistan,PAK,Pakistan,2020,43.17
Serbia,SRB,Serbia,2000,31.26
Serbia,SRB,Serbia,2001,31.86
Serbia,SRB,Serbia,2002,34.42
Serbia,SRB,Serbia,2003,37.33
Serbia,SRB,Serbia,2004,32.35
Serbia,SRB,Serbia,2005,33.6
Serbia,SRB,Serbia,2006,35
Serbia,SRB,Serbia,2007,28.19
Serbia,SRB,Serbia,2008,28.3
Serbia,SRB,Serbia,2009,29.42
Serbia,SRB,Serbia,2010,31.83
Serbia,SRB,Serbia,2011,34.04
Serbia,SRB,Serbia,2012,30.47
Serbia,SRB,Serbia,2013,28.63
Serbia,SRB,Serbia,2014,27.99
Serbia,SRB,Serbia,2015,28.04
Serbia,SRB,Serbia,2016,25.66
Serbia,SRB,Serbia,2017,26.44
Serbia,SRB,Serbia,2018,27.37
Serbia,SRB,Serbia,2019,22.79
Serbia,SRB,Serbia,2020,22.63
Iraq,IRQ,Iraq,2000,41.41
Iraq,IRQ,Iraq,2001,37.43
Iraq,IRQ,Iraq,2002,38.24
Iraq,IRQ,Iraq,2003,41.14
Iraq,IRQ,Iraq,2004,38.64
Iraq,IRQ,Iraq,2005,41.61
Iraq,IRQ,Iraq,2006,40.73
Iraq,IRQ,Iraq,2007,43.28
Iraq,IRQ,Iraq,2008,48.66
Iraq,IRQ,Iraq,2009,45.75
Iraq,IRQ,Iraq,2010,47.36
Iraq,IRQ,Iraq,2011,43.5
Iraq,IRQ,Iraq,2012,42.6
Iraq,IRQ,Iraq,2013,41.88
Iraq,IRQ,Iraq,2014,37.25
Iraq,IRQ,Iraq,2015,43.8
Iraq,IRQ,Iraq,2016,41.71
Iraq,IRQ,Iraq,2017,39.31
Iraq,IRQ,Iraq,2018,40.99
Iraq,IRQ,Iraq,2019,37.45
Iraq,IRQ,Iraq,2020,37.79
Slovak Republic,SVK,Slovak Republic,2000,21.22
Slovak Republic,SVK,Slovak Republic,2001,21.54
Slovak Republic,SVK,Slovak Republic,2002,24.4
Slovak Republic,SVK,Slovak Republic,2003,25.44
Slovak Republic,SVK,Slovak Republic,2004,22.08
Slovak Republic,SVK,Slovak Republic,2005,23.18
Slovak Republic,SVK,Slovak Republic,2006,24.54
Slovak Republic,SVK,Slovak Republic,2007,19.66
Slovak Republic,SVK,Slovak Republic,2008,19.38
Slovak Republic,SVK,Slovak Republic,2009,20.23
Slovak Republic,SVK,Slovak Republic,2010,21.3
Slovak Republic,SVK,Slovak Republic,2011,22.37
Slovak Republic,SVK,Slovak Republic,2012,20.18
Slovak Republic,SVK,Slovak Republic,2013,19.43
Slovak Republic,SVK,Slovak Republic,2014,19.12
Slovak Republic,SVK,Slovak Republic,2015,19.04
Slovak Republic,SVK,Slovak Republic,2016,17.74
Slovak Republic,SVK,Slovak Republic,2017,18.04
Slovak Republic,SVK,Slovak Republic,2018,18.53
Slovak Republic,SVK,Slovak Republic,2019,15.72
Slovak Republic,SVK,Slovak Republic,2020,15.27
Kuwait,KWT,Kuwait,2000,59.21
Kuwait,KWT,Kuwait,2001,59.97
Kuwait,KWT,Kuwait,2002,54.69
Kuwait,KWT,Kuwait,2003,65.53
Kuwait,KWT,Kuwait,2004,56.78
Kuwait,KWT,Kuwait,2005,65.8
Kuwait,KWT,Kuwait,2006,57.43
Kuwait,KWT,Kuwait,2007,61.01
Kuwait,KWT,Kuwait,2008,71.72
Kuwait,KWT,Kuwait,2009,67.64
